Unnamed: 0,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,LOCATION,LAT,LON,Year,Month,Day,DayOfWeek,Hour,Quarter,IsWeekend,TimeHour,TimeMinute,TimeOfDay
4501,201000650,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,1414,10,West Valley,1033,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1402 0416 0913 1814 0319 0444 0429 1218 2004 2000,40,M,H,158,TRANSIENT ENCAMPMENT,304.0,CLUB/BAT,AO,Adult Other,236,998.0,,VICTORY,34.1866,-118.5448,2020.0,4.0,25.0,5.0,0.0,2.0,1,14,14,Afternoon
4504,200320386,11/14/2020 12:00:00 AM,11/14/2020 12:00:00 AM,2140,3,Southwest,317,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0913 2000 1814 0447 1310,41,M,H,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,1500 W  22ND                         ST,34.0363,-118.2919,2020.0,11.0,14.0,5.0,0.0,4.0,1,21,40,Evening
4505,200515432,10/18/2020 12:00:00 AM,10/18/2020 12:00:00 AM,855,5,Harbor,507,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0401 0408 0419 0432 1243 1813 2000,36,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,930.0,,1300 W  227TH                        ST,33.8201,-118.3015,2020.0,10.0,18.0,6.0,0.0,4.0,1,8,55,Morning
4509,201016476,12/28/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1300,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1609,0,M,W,602,BANK,,,IC,Invest Cont,740,,,18400    SHERMAN                      WY,34.2011,-118.5339,2020.0,12.0,24.0,3.0,0.0,4.0,0,13,0,Afternoon
4515,200219022,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,700,2,Rampart,269,1,330,BURGLARY FROM VEHICLE,0344 0329 1601 1609 1307 1822 0216 0209,55,F,W,123,PARKING UNDERGROUND/BUILDING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,700 S  BIXEL                        ST,34.0507,-118.2643,2020.0,12.0,26.0,5.0,0.0,4.0,1,7,0,Morning
4516,200208792,04-10-2020 00:00,03/17/2020 12:00:00 AM,1800,2,Rampart,204,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,1000    SANBORN                      AV,34.0902,-118.2818,2020.0,3.0,17.0,1.0,0.0,1.0,0,18,0,Afternoon
4518,200907833,03/25/2020 12:00:00 AM,03/21/2020 12:00:00 AM,1230,9,Van Nuys,981,2,354,THEFT OF IDENTITY,0930 1822,68,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,14900    DICKENS                      ST,34.1512,-118.458,2020.0,3.0,21.0,5.0,0.0,1.0,1,12,30,Morning
4519,201109979,06-01-2020 00:00,05/30/2020 12:00:00 AM,900,11,Northeast,1107,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,29,F,F,101,STREET,,,IC,Invest Cont,740,,,5800    BURWOOD                      AV,34.1268,-118.1924,2020.0,5.0,30.0,5.0,0.0,2.0,1,9,0,Morning
4520,201015481,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,2355,10,West Valley,1035,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0444 1814 0400 2002,29,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,6700    WHITE OAK                    AV,34.19,-118.5262,2020.0,11.0,26.0,3.0,0.0,4.0,0,23,55,Evening
4522,201010047,06/15/2020 12:00:00 AM,06/14/2020 12:00:00 AM,2255,10,West Valley,1007,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,57,M,W,108,PARKING LOT,,,IC,Invest Cont,341,,,7800    PASO ROBLES                  AV,34.2121,-118.5027,2020.0,6.0,14.0,6.0,0.0,2.0,1,22,55,Evening
4523,200119655,10/18/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1515,1,Central,195,1,761,BRANDISH WEAPON,0334 0416 0913 1814 2000 0443 2004 1218,35,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,761.0,,MAPLE,34.0296,-118.2613,2020.0,10.0,18.0,6.0,0.0,4.0,1,15,15,Afternoon
